FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201404,5,0,22763,515636,"D","04/05/2014 00:00:00",24,"F","Vehicle/Towed Trailer",201404
201404,5,0,22764,515636,"D","04/05/2014 00:00:00",5,"M","Vehicle/Towed Trailer",201404
201404,16,0,22744,513713,"I","04/16/2014 00:00:00",84,"M","Vehicle/Towed Trailer",201404
201404,25,0,22745,513942,"D","04/25/2014 00:00:00",19,"M","In Water",201404
201404,26,0,22747,513945,"D","04/26/2014 00:00:00",60,"","In Water",201404
201404,8,0,22756,514129,"D","04/08/2014 00:00:00",56,"M","Mobile/Trailer Home",201404
201404,29,0,22788,516957,"D","04/29/2014 00:00:00",67,"F","Vehicle/Towed Trailer",201404
201404,28,0,22781,515209,"D","04/28/2014 00:00:00",,"F","Vehicle/Towed Trailer",201404
201404,24,0,22760,515523,"D","04/24/2014 00:00:00",25,"M","Other",201404
201404,2,0,22770,516081,"D","04/02/2014 00:00:00",,"M","In Water",201404
201402,21,0,21681,498758,"D","02/21/2014 00:00:00",29,"F","Vehicle/Towed Trailer",201402
201402,21,0,21682,498758,"D","02/21/2014 00:00:00",2,"M","Vehicle/Towed Trailer",201402
201402,21,0,21678,499057,"I","02/21/2014 00:00:00",21,"F","Vehicle/Towed Trailer",201402
201402,21,0,21679,499057,"I","02/21/2014 00:00:00",21,"F","Vehicle/Towed Trailer",201402
201402,14,0,21690,499421,"I","02/14/2014 00:00:00",49,"M","Outside/Open Areas",201402
201402,13,0,21702,500002,"D","02/13/2014 00:00:00",19,"M","Outside/Open Areas",201402
201402,5,0,21781,502744,"I","02/05/2014 00:00:00",52,"M","Vehicle/Towed Trailer",201402
201402,5,0,21782,502744,"I","02/05/2014 00:00:00",58,"F","Vehicle/Towed Trailer",201402
201402,6,0,21708,500358,"I","02/06/2014 00:00:00",,"F","Outside/Open Areas",201402
201402,4,0,21766,502577,"I","02/04/2014 00:00:00",58,"M","Vehicle/Towed Trailer",201402
201402,12,0,21737,501354,"I","02/12/2014 00:00:00",55,"M","Vehicle/Towed Trailer",201402
201402,8,0,21767,502602,"D","02/08/2014 00:00:00",21,"F","Outside/Open Areas",201402
201402,9,0,21768,502604,"D","02/09/2014 00:00:00",36,"M","Outside/Open Areas",201402
201402,23,0,21772,501932,"D","02/23/2014 00:00:00",,"F","Vehicle/Towed Trailer",201402
201402,11,0,21757,502085,"D","02/11/2014 00:00:00",52,"M","Outside/Open Areas",201402
201402,11,0,21774,502275,"D","02/11/2014 00:00:00",72,"M","Outside/Open Areas",201402
201402,11,0,21756,502279,"D","02/11/2014 00:00:00",92,"F","Permanent Home",201402
201402,13,0,21783,503735,"I","02/13/2014 00:00:00",24,"F","Vehicle/Towed Trailer",201402
201402,10,0,21778,502429,"I","02/10/2014 00:00:00",40,"M","Outside/Open Areas",201402
201402,10,0,21777,502431,"I","02/10/2014 00:00:00",16,"F","Vehicle/Towed Trailer",201402
201402,11,0,21779,502440,"I","02/11/2014 00:00:00",56,"M","Vehicle/Towed Trailer",201402
201402,7,0,21780,502441,"I","02/07/2014 00:00:00",16,"F","Vehicle/Towed Trailer",201402
201402,15,0,21775,502960,"D","02/15/2014 00:00:00",32,"M","Outside/Open Areas",201402
201402,15,0,21776,502960,"D","02/15/2014 00:00:00",34,"M","Outside/Open Areas",201402
201402,3,0,21771,502964,"D","02/03/2014 00:00:00",74,"F","Vehicle/Towed Trailer",201402
201402,16,0,21773,503021,"D","02/16/2014 00:00:00",64,"M","Outside/Open Areas",201402
201402,10,0,21808,504137,"D","02/10/2014 00:00:00",46,"M","Outside/Open Areas",201402
201402,22,0,21812,504844,"D","02/22/2014 00:00:00",49,"M","Outside/Open Areas",201402
201402,22,0,21814,504848,"I","02/22/2014 00:00:00",23,"F","Vehicle/Towed Trailer",201402
201402,22,0,21815,504848,"I","02/22/2014 00:00:00",9,"F","Vehicle/Towed Trailer",201402
201403,11,0,21816,504848,"I","03/11/2014 00:00:00",47,"F","Vehicle/Towed Trailer",201402
201403,3,0,21891,505074,"D","03/03/2014 00:00:00",68,"F","Permanent Home",201402
201403,4,0,21522,492479,"I","03/04/2014 00:00:00",20,"F","Vehicle/Towed Trailer",201403
201403,2,0,21568,492760,"I","03/02/2014 00:00:00",46,"M","Vehicle/Towed Trailer",201403
201403,11,0,21749,494406,"I","03/11/2014 00:00:00",67,"M","Outside/Open Areas",201403
201403,13,0,21591,495060,"D","03/13/2014 00:00:00",64,"M","In Water",201403
201403,18,0,21803,496353,"I","03/18/2014 00:00:00",57,"M","Vehicle/Towed Trailer",201403
201403,30,0,21663,498424,"I","03/30/2014 00:00:00",52,"F","Vehicle/Towed Trailer",201403
201403,5,0,21672,498596,"I","03/05/2014 00:00:00",17,"M","Outside/Open Areas",201403
201403,30,0,21804,504726,"D","03/30/2014 00:00:00",18,"M","In Water",201403
201403,12,0,21927,505992,"D","03/12/2014 00:00:00",55,"M","Outside/Open Areas",201403
201403,12,0,21929,506142,"D","03/12/2014 00:00:00",25,"M","Vehicle/Towed Trailer",201403
201403,26,0,22145,507055,"I","03/26/2014 00:00:00",43,"M","Permanent Structure",201403
201403,26,0,22146,507055,"I","03/26/2014 00:00:00",33,"M","Permanent Structure",201403
201403,1,0,22623,508174,"I","03/01/2014 00:00:00",52,"F","Vehicle/Towed Trailer",201403
201403,13,0,22629,508619,"D","03/13/2014 00:00:00",74,"M","Permanent Home",201403
201403,10,0,22238,507341,"D","03/10/2014 00:00:00",27,"M","Outside/Open Areas",201403
201403,2,0,22665,507405,"I","03/02/2014 00:00:00",35,"F","Vehicle/Towed Trailer",201403
201403,30,0,22239,507521,"D","03/30/2014 00:00:00",28,"M","Outside/Open Areas",201403
201403,29,0,22659,508989,"I","03/29/2014 00:00:00",,"M","Vehicle/Towed Trailer",201403
201403,29,0,22626,508342,"D","03/29/2014 00:00:00",,"M","In Water",201403
201403,29,0,22627,508342,"D","03/29/2014 00:00:00",,"M","In Water",201403
201403,30,0,22624,508343,"D","03/30/2014 00:00:00",,"F","In Water",201403
201403,1,0,22628,508725,"I","03/01/2014 00:00:00",1,"F","Vehicle/Towed Trailer",201403
201403,7,0,22658,509004,"D","03/07/2014 00:00:00",39,"M","Outside/Open Areas",201403
201403,6,0,22630,508938,"D","03/06/2014 00:00:00",74,"F","In Water",201403
201403,16,0,22661,509257,"D","03/16/2014 00:00:00",19,"M","In Water",201403
201401,28,0,21627,496406,"I","01/28/2014 00:00:00",,"F","Vehicle/Towed Trailer",201401
201401,28,0,21628,496442,"I","01/28/2014 00:00:00",,"F","Vehicle/Towed Trailer",201401
201401,28,0,21630,496443,"I","01/28/2014 00:00:00",,"F","Vehicle/Towed Trailer",201401
