"","EVENT_ID","STATE","MONTH_NAME","EVENT_TYPE","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"7695",242268,"COLORADO","June","Lightning",0,0,1,0,"0.00K","0.00K"
"7842",249119,"ILLINOIS","July","Lightning",0,0,1,0,"0.00K","0.00K"
"8080",242707,"KENTUCKY","July","Flash Flood",0,0,1,0,"0.00K","0.00K"
"9455",240901,"NEW JERSEY","June","Thunderstorm Wind",2,0,1,0,"0.00K","0.00K"
"9826",236250,"ALASKA","July","Flood",0,0,0,1,"0.00K","0.00K"
"10682",235913,"INDIANA","June","Thunderstorm Wind",0,0,1,0,"0.00K","0.00K"
"11235",254495,"TEXAS","July","Flood",0,0,2,0,"0.00K","0.00K"
"11274",245876,"MINNESOTA","June","Tornado",2,0,1,0,"",""
"11300",251477,"NORTH CAROLINA","July","Flash Flood",0,0,1,0,"1.00K","0.00K"
"11351",231119,"NEBRASKA","June","Flood",0,0,1,0,"1.00M","0.00K"
"11572",233638,"ARIZONA","July","Lightning",1,0,1,0,"0.00K","0.00K"
"11855",224976,"ARKANSAS","June","Flash Flood",24,0,20,0,"9.00M","0.00K"
"11970",245139,"TEXAS","June","Flash Flood",0,0,1,0,"10.00M","0.00K"
"12068",239602,"OHIO","June","Tornado",28,0,7,0,"100.00M","0.00K"
"12150",241741,"PENNSYLVANIA","June","Thunderstorm Wind",0,0,1,0,"150.00K","0.00K"
"12192",226101,"ILLINOIS","June","Tornado",13,0,1,0,"3.00M","0.00K"
"12266",227647,"MICHIGAN","June","Tornado",4,0,1,0,"700.00K","0.00K"
"12269",211235,"CALIFORNIA","January","Thunderstorm Wind",0,0,1,0,"100.00K","0.00K"
"13085",258394,"KENTUCKY","August","Lightning",1,0,1,0,"",""
"13176",256544,"OHIO","August","Thunderstorm Wind",0,0,1,0,"0.00K","0.00K"
"13726",247075,"WEST VIRGINIA","August","Thunderstorm Wind",1,0,1,0,"200.00K","0.00K"
"14069",252466,"SOUTH CAROLINA","August","Heavy Rain",0,0,0,1,"10.00K","0.00K"
"14267",242713,"KENTUCKY","July","Flash Flood",0,0,0,2,"8.00K","0.00K"
"14342",242729,"KENTUCKY","July","Flash Flood",0,0,0,1,"0.00K","0.00K"
"14441",264065,"ALABAMA","August","Lightning",0,0,1,0,"","0.00K"
"14705",255786,"MASSACHUSETTS","August","Lightning",0,0,1,0,"0.00K","0.00K"
"14908",247573,"TEXAS","August","Flood",0,0,1,0,"0.00K","0.00K"
"15167",254958,"NORTH DAKOTA","August","Tornado",1,0,1,0,"500.00K","100.00K"
"15169",256650,"PUERTO RICO","August","Flash Flood",0,0,1,0,"0.00K","0.00K"
"15188",245797,"KENTUCKY","August","Thunderstorm Wind",0,0,1,0,"20.00K","0.00K"
"15210",245162,"OHIO","August","Thunderstorm Wind",4,0,2,0,"110.00K","0.00K"
"15533",258059,"IDAHO","August","Lightning",0,0,1,0,"0.00K","0.00K"
"15731",253277,"OKLAHOMA","July","Flash Flood",0,0,1,0,"0.00K","0.00K"
"15771",258403,"ALABAMA","August","Lightning",0,0,0,1,"0.00K","0.00K"
"15814",256947,"NEW YORK","August","Heavy Rain",0,2,0,1,"0.00K","0.00K"
"15948",262537,"NEW YORK","September","Tornado",1,0,1,1,"17.20M",""
"16526",254474,"ILLINOIS","July","Flood",0,0,0,1,"0.00K","0.00K"
"16612",248532,"WYOMING","July","Lightning",0,0,1,0,"0.00K","0.00K"
"16653",243682,"MONTANA","July","Tornado",1,0,2,0,"300.00K","0.00K"
"16811",246381,"GEORGIA","June","Thunderstorm Wind",0,0,0,1,"",""
"16977",254086,"KENTUCKY","July","Lightning",2,0,1,0,"0.00K","0.00K"
"17219",252191,"WISCONSIN","July","Flash Flood",0,0,1,0,"24.10M","10.00K"
"17674",231404,"MINNESOTA","June","Tornado",14,0,1,0,"0.00K","0.00K"
"17965",227030,"WYOMING","June","Lightning",0,0,1,0,"0.00K","0.00K"
"18272",238164,"MONTANA","June","Thunderstorm Wind",1,0,1,0,"250.00K","0.00K"
"18510",246325,"GEORGIA","June","Lightning",1,0,1,0,"0.00K","0.00K"
"19365",240050,"IOWA","August","Flash Flood",4,0,1,0,"100.00K","25.00K"
"20257",238223,"MISSOURI","May","Flood",0,0,1,0,"0.00K","0.00K"
"21124",233349,"MISSOURI","May","Flash Flood",0,0,1,0,"0.00K","0.00K"
"21150",219271,"ARKANSAS","May","Flash Flood",0,0,1,0,"30.00K","0.00K"
"22780",234586,"TEXAS","May","Flash Flood",0,0,1,0,"5.00K","0.00K"
"23020",226409,"OHIO","May","Flood",0,0,2,0,"15.00K","0.00K"
"23809",230056,"CONNECTICUT","May","Lightning",2,0,1,0,"0.00K","0.00K"
"24203",225230,"INDIANA","May","Lightning",0,0,1,0,"0.00K","0.00K"
"24409",234855,"TENNESSEE","May","Flood",0,0,1,0,"3.60M","1.00K"
"24563",237130,"KENTUCKY","May","Flash Flood",0,0,1,0,"20.00K","0.00K"
"24650",229418,"TENNESSEE","May","Flash Flood",0,0,1,0,"9.00M","0.00K"
"24915",237151,"KENTUCKY","May","Flash Flood",0,0,1,0,"30.00K","0.00K"
"25058",229290,"TENNESSEE","May","Flash Flood",0,0,1,0,"20.50M","0.00K"
"25188",235557,"TEXAS","May","Flash Flood",1,0,1,0,"175.00K","0.00K"
"25201",224865,"OHIO","May","Lightning",5,0,1,0,"","0.00K"
"25258",229590,"TENNESSEE","May","Flash Flood",0,0,1,0,"4.50M","0.00K"
"25343",237147,"KENTUCKY","May","Flash Flood",0,0,1,0,"15.00K","0.00K"
"25345",231948,"OKLAHOMA","May","Tornado",32,0,1,0,"0.00K","0.00K"
"25694",226199,"TENNESSEE","May","Flood",0,0,10,0,"1.50B","1.00K"
"25989",234854,"TENNESSEE","May","Flood",0,0,2,0,"2.80M","1.00K"
"26110",226316,"LOUISIANA","May","Lightning",0,0,1,0,"","0.00K"
"26213",233431,"TENNESSEE","May","Flash Flood",0,0,1,0,"50.00K","1.00K"
"26214",226314,"TENNESSEE","May","Flood",0,0,1,0,"1.90M","1.00K"
"26288",237774,"TENNESSEE","May","Flash Flood",0,0,1,0,"25.00M","0.00K"
"26292",237216,"PUERTO RICO","May","Flash Flood",0,0,2,0,"10.00K","0.00K"
"26421",231939,"OKLAHOMA","May","Tornado",29,0,2,0,"0.00K","0.00K"
"26635",237666,"MISSISSIPPI","May","Tornado",7,0,2,0,"1.00M","0.00K"
"26706",237805,"MISSISSIPPI","May","Heavy Rain",0,0,0,1,"0.00K","0.00K"
"26738",266150,"TENNESSEE","May","Flood",0,0,2,0,"100.00K","0.00K"
"26774",237807,"MISSISSIPPI","May","Flash Flood",0,0,0,1,"100.00K","0.00K"
"26990",253313,"PENNSYLVANIA","July","Flash Flood",0,0,1,0,"0.00K","0.00K"
"27204",229299,"TENNESSEE","May","Flash Flood",0,0,1,0,"28.90M","0.00K"
"27253",253123,"ARIZONA","July","Flash Flood",0,0,1,0,"2.00M","0.00K"
"27356",237144,"KENTUCKY","May","Flash Flood",0,0,1,0,"15.00K","0.00K"
"27516",237801,"MISSISSIPPI","May","Tornado",0,0,1,0,"250.00K","0.00K"
"27576",237806,"MISSISSIPPI","May","Flash Flood",0,0,1,0,"4.50M","0.00K"
"27628",237687,"TENNESSEE","May","Tornado",2,0,1,0,"250.00K","0.00K"
"27742",249121,"GEORGIA","July","Lightning",0,0,2,0,"0.00K","0.00K"
"28027",213691,"CALIFORNIA","January","Flood",0,0,1,0,"0.00K","0.00K"
"28527",219265,"ARKANSAS","April","Flash Flood",0,0,1,0,"20.00K","0.00K"
"28554",238880,"ARKANSAS","April","Heavy Rain",0,0,0,1,"0.00K","0.00K"
"28674",227063,"CALIFORNIA","April","Heavy Rain",0,1,0,2,"10.00K","0.00K"
"28869",247932,"ALABAMA","July","Lightning",4,0,1,0,"0.00K","0.00K"
"29075",249624,"MISSOURI","July","Flash Flood",0,0,1,0,"0.00K","0.00K"
"29083",251687,"FLORIDA","July","Lightning",0,0,1,0,"0.00K","0.00K"
"29272",258258,"ARIZONA","January","Flash Flood",0,0,0,1,"0.00K","0.00K"
"29479",219252,"ARKANSAS","April","Tornado",15,0,1,0,"4.00M","0.00K"
"29508",225173,"ALABAMA","April","Thunderstorm Wind",0,0,0,1,"2.00K","0.00K"
"29597",228117,"ALABAMA","April","Tornado",0,0,0,1,"598.00K","0.00K"
"30041",225879,"TEXAS","April","Flash Flood",0,0,1,0,"20.00K","0.00K"
"31067",243571,"ILLINOIS","June","Thunderstorm Wind",2,0,1,0,"0.00K","0.00K"
"31201",225226,"TEXAS","April","Lightning",0,9,0,1,"200.00K","0.00K"
"31780",226177,"PUERTO RICO","April","Flash Flood",0,0,1,0,"10.00K","0.00K"
"32281",266437,"ILLINOIS","August","Flood",0,0,1,0,"0.00K","0.00K"
"32333",245530,"MINNESOTA","June","Tornado",5,0,1,0,"",""
"32415",243588,"FLORIDA","August","Thunderstorm Wind",0,1,0,1,"0.00K","0.00K"
"32458",235773,"WYOMING","July","Lightning",17,0,0,1,"0.00K","0.00K"
"32695",224551,"MISSISSIPPI","April","Tornado",53,0,4,0,"140.00M","4.00M"
"32806",238434,"PENNSYLVANIA","July","Thunderstorm Wind",0,0,0,1,"5.00K","0.00K"
"33213",220337,"TENNESSEE","March","Heavy Rain",0,0,0,1,"50.00K",""
"33389",245446,"KENTUCKY","July","Flash Flood",0,0,1,0,"5.00M","0.00K"
"33528",246291,"WEST VIRGINIA","July","Flash Flood",0,0,1,0,"100.00K","0.00K"
"33701",224552,"MISSISSIPPI","April","Tornado",40,0,1,0,"60.00M","4.00M"
"33792",258221,"IDAHO","August","Thunderstorm Wind",0,0,1,0,"0.00K","0.00K"
"33872",224615,"MISSISSIPPI","April","Tornado",35,0,5,0,"90.00M","6.00M"
"34135",215807,"RHODE ISLAND","March","Flood",0,0,0,1,"1.30M","0.00K"
"34138",215579,"WEST VIRGINIA","March","Flood",0,0,2,0,"4.00M","0.00K"
"34388",243602,"ARIZONA","July","Flash Flood",0,0,0,1,"20.00K","0.00K"
"34540",245616,"OHIO","July","Flash Flood",4,0,1,0,"300.00K","0.00K"
"34910",211038,"ARKANSAS","March","Tornado",3,0,1,0,"250.00K","0.00K"
"35519",248978,"NEW JERSEY","July","Lightning",2,0,1,0,"0.00K","0.00K"
"35674",219124,"NORTH CAROLINA","March","Flash Flood",0,0,0,2,"0.00K","0.00K"
"35839",222668,"CONNECTICUT","March","Flood",0,0,0,1,"0.00K","0.00K"
"35929",249196,"VIRGINIA","July","Thunderstorm Wind",0,0,0,1,"",""
"36242",217598,"MASSACHUSETTS","March","Flood",1,0,0,1,"9.80M","0.00K"
"36460",255285,"MARYLAND","July","Lightning",0,0,1,0,"",""
"36523",256218,"MARYLAND","July","Lightning",0,0,1,0,"",""
"36874",267533,"ARKANSAS","December","Tornado",7,0,4,0,"1.50M","0.00K"
"36938",267577,"MISSOURI","December","Tornado",6,0,2,0,"1.00M","0.00K"
"36948",267705,"MISSOURI","December","Tornado",0,0,2,0,"450.00K","0.00K"
"37071",275090,"MISSOURI","December","Tornado",6,0,1,0,"1.00M","0.00K"
"37272",272623,"CALIFORNIA","December","Flash Flood",0,0,1,0,"0.00K","0.00K"
"37638",260617,"FLORIDA","September","High Surf",0,0,1,0,"0.00K","0.00K"
"37717",216019,"ILLINOIS","February","Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"37849",267674,"MICHIGAN","November","Winter Weather",0,0,0,1,"2.50K","0.00K"
"37967",269499,"MINNESOTA","November","Winter Weather",0,0,1,0,"0.00K","0.00K"
"38323",272854,"CALIFORNIA","December","Flood",0,0,1,0,"0.00K","0.00K"
"38325",270980,"WASHINGTON","December","Thunderstorm Wind",0,0,1,0,"25.00K","0.00K"
"38365",265090,"INDIANA","October","Strong Wind",0,0,1,0,"0.00K","0.00K"
"38691",210848,"IDAHO","January","Avalanche",0,0,1,0,"0.00K","0.00K"
"38934",200978,"OREGON","January","Avalanche",0,0,1,0,"0.00K","0.00K"
"38935",201328,"WYOMING","January","Avalanche",0,0,1,0,"0.00K","0.00K"
"38947",213853,"CALIFORNIA","January","High Wind",0,0,1,0,"250.00K","0.00K"
"38988",213777,"CALIFORNIA","January","Strong Wind",0,0,1,0,"12.00K","0.00K"
"39005",204606,"ILLINOIS","January","Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"39058",213637,"ILLINOIS","January","Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"39182",203520,"CALIFORNIA","January","Heavy Snow",0,11,0,1,"2.00M","0.00K"
"39688",213616,"ARIZONA","January","Winter Weather",0,6,0,2,"0.00K","0.00K"
"39827",206027,"NEW MEXICO","January","Winter Weather",0,0,0,1,"0.00K","0.00K"
"39866",212296,"NORTH CAROLINA","January","Winter Storm",0,1,0,1,"0.00K","0.00K"
"40049",203220,"IOWA","January","Blizzard",0,0,1,0,"75.00K","0.00K"
"40086",213638,"ILLINOIS","January","Cold/Wind Chill",0,0,2,0,"0.00K","0.00K"
"40226",201898,"MISSOURI","January","Winter Weather",0,1,0,1,"0.00K","0.00K"
"40623",209481,"KENTUCKY","January","Freezing Fog",0,0,0,1,"0.00K","0.00K"
"40693",260164,"FLORIDA","September","Heat",0,0,1,0,"0.00K","0.00K"
"40717",262722,"FLORIDA","September","Heat",0,0,0,1,"0.00K","0.00K"
"40738",205518,"FLORIDA","January","High Surf",1,0,1,0,"0.00K","0.00K"
"40778",251771,"ARIZONA","September","Heat",0,0,1,0,"0.00K","0.00K"
"40790",259551,"WISCONSIN","September","Strong Wind",0,0,1,0,"5.00K",""
"40914",262045,"PENNSYLVANIA","September","Strong Wind",0,0,0,1,"10.00K","0.00K"
"41075",266263,"CALIFORNIA","October","Rip Current",1,0,1,0,"0.00K","0.00K"
"41429",260549,"NEW JERSEY","September","High Surf",0,0,1,0,"0.00K","0.00K"
"41621",263982,"ILLINOIS","October","Strong Wind",0,0,0,1,"0.00K","0.00K"
"41811",258297,"VIRGIN ISLANDS","September","High Surf",0,0,1,0,"0.00K","0.00K"
"41819",249978,"FLORIDA","September","Rip Current",1,0,1,0,"0.00K","0.00K"
"41850",253066,"MARYLAND","July","Heat",0,0,1,0,"",""
"41869",248257,"MICHIGAN","September","Rip Current",4,0,1,0,"0.00K","0.00K"
"42269",239400,"ARKANSAS","July","Heat",0,0,1,0,"",""
"42539",240893,"TEXAS","June","Heat",0,0,0,1,"0.00K","0.00K"
"42723",244146,"MARYLAND","June","Heat",0,0,2,0,"",""
"42724",244147,"MARYLAND","June","Heat",0,0,1,0,"",""
"42739",233879,"NEVADA","June","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"42740",233880,"NEVADA","June","Heat",0,0,1,0,"0.00K","0.00K"
"42853",262329,"PUERTO RICO","September","High Surf",1,0,1,0,"0.00K","0.00K"
"42894",244795,"FLORIDA","June","Rip Current",0,0,1,0,"0.00K","0.00K"
"42981",246808,"SOUTH CAROLINA","July","Rip Current",1,0,1,0,"0.00K","0.00K"
"42998",202773,"NEBRASKA","January","Cold/Wind Chill",0,0,0,1,"",""
"43051",210174,"TEXAS","January","Cold/Wind Chill",0,0,0,1,"50.00K","0.00K"
"43067",242052,"PENNSYLVANIA","June","Excessive Heat",0,0,2,0,"0.00K","0.00K"
"43098",241916,"MARYLAND","June","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"43106",211096,"TENNESSEE","January","Winter Storm",0,0,0,1,"0.00K","0.00K"
"43207",234601,"TEXAS","July","Heat",0,0,1,0,"0.00K","0.00K"
"43208",253872,"MICHIGAN","July","Rip Current",0,0,1,0,"0.00K","0.00K"
"43236",212380,"FLORIDA","January","Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"43244",236728,"WASHINGTON","July","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"43247",250640,"NEVADA","July","Heat",0,0,5,0,"0.00K","0.00K"
"43306",212392,"FLORIDA","January","Cold/Wind Chill",1,0,1,0,"0.00K","0.00K"
"43313",254289,"ALABAMA","July","Rip Current",0,0,2,0,"0.00K","0.00K"
"43457",234864,"MISSOURI","June","Heat",0,0,2,0,"0.00K","0.00K"
"43607",240537,"TEXAS","June","Heat",0,0,1,1,"0.00K","0.00K"
"43659",240600,"PENNSYLVANIA","June","Heat",0,0,2,0,"0.00K","0.00K"
"43665",254305,"ILLINOIS","July","Heat",0,0,1,0,"0.00K","0.00K"
"43723",254310,"ILLINOIS","July","Heat",0,0,1,0,"0.00K","0.00K"
"43724",233711,"NEW MEXICO","July","Heat",0,0,1,0,"0.00K","0.00K"
"43935",243813,"ALABAMA","June","Heat",0,0,1,0,"0.00K","0.00K"
"43959",253895,"LOUISIANA","August","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"43965",202718,"NEBRASKA","January","Winter Weather",0,0,0,1,"",""
"44005",244145,"MARYLAND","June","Heat",0,0,1,0,"",""
"44054",253896,"MISSISSIPPI","August","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"44066",243968,"LOUISIANA","June","Heat",0,0,1,0,"0.00K","0.00K"
"44223",211471,"TENNESSEE","January","Cold/Wind Chill",0,0,3,0,"0.00K","0.00K"
"44278",211472,"TENNESSEE","January","Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"44279",211473,"TENNESSEE","January","Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"44390",211032,"SOUTH DAKOTA","January","Dense Fog",0,2,0,3,"",""
"44400",212034,"SOUTH DAKOTA","January","Winter Weather",0,0,0,1,"0.00K","0.00K"
"44593",203409,"LOUISIANA","January","Cold/Wind Chill",0,0,0,1,"500.00K","0.00K"
"44604",211011,"TEXAS","January","Winter Storm",0,0,1,0,"20.00K","0.00K"
"44641",239549,"ARKANSAS","August","Excessive Heat",0,0,1,0,"",""
"44642",246705,"FLORIDA","August","High Surf",0,0,1,0,"0.00K","0.00K"
"44707",246838,"INDIANA","August","Rip Current",2,0,2,0,"0.00K","0.00K"
"44729",255494,"TENNESSEE","August","Heat",0,0,1,0,"0.00K","0.00K"
"44730",210192,"LOUISIANA","January","Cold/Wind Chill",0,0,1,0,"50.00K","0.00K"
"44758",258611,"MICHIGAN","August","Rip Current",0,0,2,0,"0.00K","0.00K"
"44878",246839,"MICHIGAN","August","Rip Current",0,0,1,0,"0.00K","0.00K"
"45000",255178,"MISSISSIPPI","August","Heat",0,0,1,0,"0.00K","0.00K"
"45024",246491,"ARKANSAS","June","Heat",0,0,1,0,"0.00K","0.00K"
"45180",256742,"NEW JERSEY","August","Rip Current",0,0,1,0,"0.00K","0.00K"
"45222",255158,"MISSISSIPPI","August","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"45390",258853,"ARKANSAS","August","Heat",0,0,1,0,"0.00K","0.00K"
"45414",254410,"OKLAHOMA","July","Excessive Heat",28,0,1,0,"0.00K","0.00K"
"45488",254053,"CALIFORNIA","July","High Surf",0,0,4,0,"20.00K","0.00K"
"45496",249339,"TEXAS","July","Rip Current",0,0,2,0,"0.00K","0.00K"
"45545",249043,"MISSISSIPPI","August","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"45546",257223,"TENNESSEE","August","Heat",0,0,0,1,"0.00K","0.00K"
"45553",258759,"MICHIGAN","August","Rip Current",0,0,1,0,"0.00K","0.00K"
"45566",254073,"CALIFORNIA","July","High Surf",5,0,2,0,"0.00K","0.00K"
"45572",249841,"NEW YORK","July","Excessive Heat",0,0,4,0,"0.00K","0.00K"
"45573",249876,"NEW YORK","July","Excessive Heat",0,0,2,0,"0.00K","0.00K"
"45574",249896,"NEW YORK","July","Excessive Heat",0,0,2,0,"0.00K","0.00K"
"45654",258609,"MICHIGAN","July","Rip Current",0,0,1,0,"0.00K","0.00K"
"45710",211542,"ILLINOIS","January","Winter Weather",0,1,0,1,"0.00K","0.00K"
"45730",255521,"ARKANSAS","August","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"45760",259392,"TEXAS","August","Rip Current",0,0,1,0,"0.00K","0.00K"
"45763",242573,"LOUISIANA","August","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"45806",263398,"MISSOURI","August","Excessive Heat",0,0,1,0,"",""
"45831",255199,"TENNESSEE","August","Excessive Heat",0,0,4,0,"0.00K","0.00K"
"45836",242574,"LOUISIANA","August","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"45842",251577,"KENTUCKY","August","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"45872",255979,"NEW YORK","August","Rip Current",1,0,1,0,"0.00K","0.00K"
"45938",263334,"MISSOURI","August","Excessive Heat",85,0,1,0,"",""
"45939",263337,"MISSOURI","August","Excessive Heat",0,0,1,0,"",""
"45940",255151,"MISSISSIPPI","August","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"45961",258851,"ILLINOIS","August","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"46027",259397,"TEXAS","August","Rip Current",0,0,1,0,"0.00K","0.00K"
"46050",242510,"NEW YORK","June","Rip Current",0,0,1,0,"0.00K","0.00K"
"46134",242509,"NEW YORK","June","Rip Current",0,0,1,0,"0.00K","0.00K"
"46135",228648,"NEW YORK","June","Rip Current",0,0,2,0,"0.00K","0.00K"
"46146",251352,"FLORIDA","August","Heat",0,0,0,1,"0.00K","0.00K"
"46208",223547,"FLORIDA","May","Rip Current",0,0,1,0,"0.00K","0.00K"
"46247",233827,"MINNESOTA","May","Winter Weather",0,2,0,1,"0.00K","0.00K"
"46260",237139,"CALIFORNIA","May","High Surf",0,0,2,0,"25.00K","0.00K"
"46368",228644,"NEW YORK","May","Rip Current",0,0,2,0,"0.00K","0.00K"
"46590",256782,"VIRGINIA","August","Dense Fog",0,1,0,1,"0.00K","0.00K"
"46638",254718,"MISSISSIPPI","August","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"46639",254719,"MISSISSIPPI","August","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"46700",258610,"MICHIGAN","August","Rip Current",0,0,2,0,"0.00K","0.00K"
"46823",236730,"FLORIDA","May","Rip Current",0,0,2,0,"0.00K","0.00K"
"46824",236731,"FLORIDA","May","Rip Current",0,0,1,0,"0.00K","0.00K"
"46835",256620,"MISSOURI","August","Heat",0,0,2,0,"0.00K","0.00K"
"46841",241811,"ARKANSAS","August","Heat",0,0,1,0,"",""
"46856",234575,"TEXAS","May","Heat",0,0,0,1,"0.00K","0.00K"
"46866",235604,"SOUTH CAROLINA","May","Rip Current",0,0,0,1,"0.00K","0.00K"
"46886",228718,"WASHINGTON","May","High Wind",0,0,0,1,"","0.00K"
"46912",256874,"MISSISSIPPI","July","Excessive Heat",0,0,2,0,"0.00K","0.00K"
"46993",246320,"ARIZONA","June","Heat",0,0,1,0,"0.00K","0.00K"
"46998",255074,"TENNESSEE","August","Excessive Heat",1,0,7,0,"0.00K","0.00K"
"47080",222594,"NEBRASKA","May","Strong Wind",0,0,1,0,"0.00K","0.00K"
"47118",232488,"ILLINOIS","May","Heat",0,0,3,0,"0.00K","0.00K"
"47119",232484,"ILLINOIS","May","Heat",0,0,1,0,"0.00K","0.00K"
"47260",233993,"TEXAS","May","Heat",0,0,0,1,"0.00K","0.00K"
"47419",251292,"FLORIDA","July","Rip Current",2,0,1,0,"0.00K","0.00K"
"47527",220496,"ARIZONA","May","Dust Storm",0,0,0,1,"30.00K","0.00K"
"47596",250073,"TENNESSEE","July","Heat",0,0,1,0,"0.00K","0.00K"
"47600",210910,"UTAH","January","Avalanche",0,0,1,0,"0.00K","0.00K"
"47601",210915,"UTAH","January","Avalanche",0,0,1,0,"0.00K","0.00K"
"47626",213084,"TENNESSEE","January","Winter Storm",0,0,1,0,"0.00K","0.00K"
"47658",251887,"ATLANTIC SOUTH","July","Marine Strong Wind",0,0,1,0,"0.00K","0.00K"
"47660",210909,"UTAH","January","Avalanche",0,0,1,0,"0.00K","0.00K"
"47722",213044,"ALABAMA","January","Winter Storm",2,2,2,0,"","0.00K"
"47753",253455,"PENNSYLVANIA","July","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"47759",250961,"NEW JERSEY","July","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"47802",250916,"GEORGIA","July","Heat",0,0,2,0,"0.00K","0.00K"
"47809",253457,"PENNSYLVANIA","July","Excessive Heat",0,0,3,0,"0.00K","0.00K"
"47815",250093,"TENNESSEE","July","Heat",0,0,1,0,"0.00K","0.00K"
"47869",253764,"PENNSYLVANIA","July","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"47870",253765,"PENNSYLVANIA","July","Excessive Heat",0,0,3,0,"0.00K","0.00K"
"47871",253766,"PENNSYLVANIA","July","Excessive Heat",0,0,6,0,"0.00K","0.00K"
"47945",212973,"WISCONSIN","January","Dense Fog",0,0,0,1,"0.00K","0.00K"
"47990",213012,"TENNESSEE","January","Ice Storm",0,0,1,0,"100.00K",""
