"","EVENT_ID","STATE","MONTH_NAME","EVENT_TYPE","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"825",260024,"MASSACHUSETTS","September","Lightning",0,0,1,0,"0.00K","0.00K"
"895",265678,"PENNSYLVANIA","October","Flood",0,0,1,0,"750.00K","0.00K"
"1141",241186,"CALIFORNIA","January","Flash Flood",0,0,1,0,"0.00K","0.00K"
"1177",252987,"PENNSYLVANIA","September","Thunderstorm Wind",0,0,2,0,"15.00K","0.00K"
"1596",205181,"TEXAS","February","Flash Flood",0,0,1,0,"0.00K","0.00K"
"1649",264461,"NEW YORK","October","Flash Flood",0,0,1,0,"10.00K","0.00K"
"1782",266013,"CONNECTICUT","October","Heavy Rain",0,0,0,2,"0.00K","0.00K"
"1873",208476,"NEVADA","January","Heavy Rain",0,0,0,1,"15.00K","0.00K"
"2048",252947,"NEW MEXICO","September","Flash Flood",0,0,1,0,"0.00K","0.00K"
"2074",255627,"WEST VIRGINIA","September","Tornado",10,0,1,0,"1.00M","0.00K"
"2755",261301,"TEXAS","September","Flash Flood",0,0,1,0,"0.00K","0.00K"
"2917",260348,"TEXAS","September","Flash Flood",0,0,1,0,"3.00M","0.00K"
"3245",260955,"TEXAS","September","Flash Flood",0,0,1,0,"0.00K","0.00K"
"3253",260962,"TEXAS","September","Flash Flood",0,0,1,0,"0.00K","0.00K"
"3496",260674,"TEXAS","September","Flash Flood",0,0,1,0,"400.00K","0.00K"
"3597",252235,"TEXAS","September","Lightning",1,0,1,0,"0.00K","0.00K"
"3804",261086,"TEXAS","September","Flash Flood",0,0,1,0,"0.00K","0.00K"
"3811",263044,"OKLAHOMA","September","Flash Flood",0,0,1,0,"75.00K","0.00K"
"4007",244100,"MICHIGAN","June","Thunderstorm Wind",0,0,0,1,"25.00K","0.00K"
"5029",242380,"NORTH CAROLINA","June","Lightning",1,0,1,0,"0.00K","0.00K"
"5198",236304,"NEBRASKA","June","Thunderstorm Wind",0,0,0,1,"0.00K","0.00K"
"5336",265205,"ALABAMA","October","Lightning",2,0,1,0,"0.00K","0.00K"
"5524",243801,"MISSOURI","June","Lightning",0,0,1,0,"0.00K","0.00K"
"5652",238054,"FLORIDA","June","Lightning",0,1,0,1,"0.00K","0.00K"
"6303",227518,"TEXAS","June","Lightning",1,0,1,0,"0.00K","0.00K"
"6549",247871,"NORTH CAROLINA","June","Lightning",0,0,1,0,"",""
"6910",230262,"OHIO","June","Flood",0,0,2,0,"3.00K","0.00K"
"7120",260347,"NORTH CAROLINA","September","Flood",0,0,5,0,"10.00K","1.00M"
"7517",241764,"OKLAHOMA","June","Flash Flood",0,0,1,0,"0.00K","0.00K"
