"","EVENT_ID","STATE","MONTH_NAME","EVENT_TYPE","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"25840",383852,"OKLAHOMA","July","Lightning",0,0,1,0,"",""
"26007",406187,"OHIO","July","Thunderstorm Wind",0,0,1,0,"750.00K","0.00K"
"26046",400569,"CALIFORNIA","July","Lightning",0,0,1,0,"0.00K","0.00K"
"26357",383393,"TEXAS","July","Lightning",1,0,2,0,"0.00K","0.00K"
"26596",386941,"ILLINOIS","July","Lightning",0,0,1,0,"0.00K","0.00K"
"27509",381670,"KANSAS","July","Lightning",0,0,1,0,"0.00K","0.00K"
"27571",405932,"NORTH CAROLINA","July","Thunderstorm Wind",0,0,0,1,"100.00K","0.00K"
"28129",396492,"ARIZONA","July","Flash Flood",0,0,1,0,"0.00K","0.00K"
"28386",402421,"LOUISIANA","July","Thunderstorm Wind",0,0,2,0,"","0.00K"
"28387",402422,"LOUISIANA","July","Thunderstorm Wind",0,0,2,0,"","0.00K"
"28614",359638,"CALIFORNIA","March","Avalanche",0,0,1,0,"0.00K","0.00K"
"28811",392277,"ARIZONA","July","Flash Flood",0,0,1,0,"0.00K","0.00K"
"29427",390148,"ALABAMA","August","Heat",0,0,1,0,"0.00K","0.00K"
"29606",361180,"WYOMING","March","Avalanche",0,0,2,0,"0.00K","0.00K"
"29740",394519,"TEXAS","August","Lightning",0,1,0,1,"30.00K","0.00K"
"29747",390429,"LAKE MICHIGAN","August","Marine Strong Wind",0,0,2,0,"0.00K","0.00K"
"30052",392173,"TEXAS","June","Rip Current",0,0,1,0,"0.00K","0.00K"
"30219",358634,"COLORADO","January","Avalanche",0,0,1,0,"0.00K","0.00K"
"30470",409140,"FLORIDA","August","Tropical Storm",0,0,1,0,"0.00K","0.00K"
"30521",403089,"TEXAS","July","Thunderstorm Wind",0,0,2,0,"0.00K","0.00K"
"30565",409136,"FLORIDA","August","Tropical Storm",0,0,1,0,"0.00K","0.00K"
"30566",409139,"FLORIDA","August","Tropical Storm",0,0,1,0,"0.00K","0.00K"
"30912",388634,"FLORIDA","August","Lightning",0,0,2,0,"",""
"31090",412894,"WEST VIRGINIA","October","Heavy Snow",0,0,1,1,"750.00K","0.00K"
"31292",406466,"NEVADA","August","Heat",0,0,2,0,"0.00K","0.00K"
"31293",411290,"CALIFORNIA","August","Heat",0,0,1,0,"0.00K","0.00K"
"31366",406465,"NEVADA","August","Heat",0,0,3,0,"0.00K","0.00K"
"31629",410369,"NORTH CAROLINA","August","Lightning",0,0,1,0,"0.00K","0.00K"
"31869",400919,"NEVADA","August","Flash Flood",0,0,1,0,"5.00M","0.00K"
"33013",388346,"PENNSYLVANIA","June","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"33024",379745,"WASHINGTON","June","Strong Wind",0,0,1,0,"0.00K","0.00K"
"33041",426219,"CALIFORNIA","December","Sneakerwave",0,0,2,0,"0.00K","0.00K"
"33625",360274,"KANSAS","January","Winter Weather",0,6,0,1,"25.00K","0.00K"
"33724",385908,"COLORADO","June","Wildfire",0,0,2,0,"400.00M","0.00K"
"33769",380890,"FLORIDA","June","High Surf",0,0,0,1,"0.00K","0.00K"
"34083",390146,"LOUISIANA","June","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"34167",398156,"FLORIDA","June","Rip Current",0,0,1,0,"0.00K","0.00K"
"34171",397105,"MISSOURI","June","Heat",0,0,1,0,"0.00K","0.00K"
"34237",415103,"LOUISIANA","September","Heat",1,0,1,0,"0.00K","0.00K"
"34553",399038,"OKLAHOMA","September","Thunderstorm Wind",0,0,3,0,"250.00K","0.00K"
"34611",399042,"OKLAHOMA","September","Thunderstorm Wind",0,0,1,0,"25.00K","0.00K"
"34825",411455,"WASHINGTON","September","Wildfire",0,0,0,1,"1.50K",""
"34906",388265,"NEW JERSEY","June","Rip Current",0,0,1,0,"0.00K","0.00K"
"35019",399646,"INDIANA","September","Rip Current",0,0,1,0,"0.00K","0.00K"
"35025",380889,"FLORIDA","June","High Surf",0,0,0,1,"0.00K","0.00K"
"35067",399631,"ALABAMA","June","Rip Current",0,0,1,0,"0.00K","0.00K"
"35412",362794,"UTAH","January","Avalanche",0,0,1,0,"0.00K","0.00K"
"35415",356278,"INDIANA","January","Winter Weather",0,0,0,1,"0.00K","0.00K"
"35472",356279,"INDIANA","January","Winter Weather",0,0,0,1,"0.00K","0.00K"
"35527",356947,"NEVADA","January","Cold/Wind Chill",0,0,1,0,"0.00K","0.00K"
"35699",413263,"CALIFORNIA","September","Wildfire",0,3,1,0,"3.67M","0.00K"
"35997",394637,"ARKANSAS","June","Heat",0,0,1,0,"0.00K","0.00K"
"36482",361916,"WASHINGTON","January","Ice Storm",1,1,1,0,"800.00K","0.00K"
"36697",388563,"PENNSYLVANIA","June","Excessive Heat",0,0,1,0,"0.00K","0.00K"
"37003",408375,"OKLAHOMA","August","Wildfire",0,0,1,0,"",""
"37055",411159,"UTAH","August","Flash Flood",0,0,1,0,"0.00K","0.00K"
"37345",376440,"FLORIDA","June","Rip Current",0,0,1,0,"0.00K","0.00K"
"37372",390929,"NORTH CAROLINA","June","Rip Current",0,0,1,0,"0.00K","0.00K"
"37390",376441,"FLORIDA","June","Rip Current",0,0,1,0,"0.00K","0.00K"
"37743",414369,"ARIZONA","September","Flood",1,0,1,0,"20.00K","0.00K"
"38035",409193,"FLORIDA","August","Lightning",0,0,0,1,"385.00K","0.00K"
"38074",411964,"MISSISSIPPI","August","Strong Wind",0,0,1,0,"30.00K","0.00K"
"38132",389976,"NEW MEXICO","August","Heat",0,0,1,0,"0.00K","0.00K"
"38643",407952,"TEXAS","August","Flood",0,0,1,0,"0.00K","0.00K"
"38814",410928,"MICHIGAN","August","Rip Current",0,0,1,0,"0.00K","0.00K"
"39190",401680,"NEBRASKA","August","Thunderstorm Wind",0,0,0,1,"0.00K","0.00K"
"39258",410705,"INDIANA","August","Dense Smoke",0,4,0,1,"0.00K","0.00K"
"39310",404476,"TENNESSEE","August","Heat",0,0,1,0,"0.00K","0.00K"
"39311",404007,"TENNESSEE","August","Heat",0,0,2,0,"0.00K","0.00K"
