"","EVENT_ID","STATE","MONTH_NAME","EVENT_TYPE","INJURIES_DIRECT","INJURIES_INDIRECT","DEATHS_DIRECT","DEATHS_INDIRECT","DAMAGE_PROPERTY","DAMAGE_CROPS"
"249",285317,"ARIZONA","March","Hail",0,2,0,1,"0.00K","0.00K"
"1528",303702,"GEORGIA","April","Thunderstorm Wind",0,0,0,1,"25.00K","0.00K"
"1628",317528,"WYOMING","July","Flash Flood",2,0,4,0,"0.00K","0.00K"
"1776",303709,"GEORGIA","April","Thunderstorm Wind",1,0,1,0,"50.00K","0.00K"
"2504",297671,"NORTH CAROLINA","April","Tornado",67,0,4,0,"115.00M","0.00K"
"2952",290952,"ARKANSAS","April","Thunderstorm Wind",0,0,1,0,"45.00K","0.00K"
"3484",290959,"ARKANSAS","April","Thunderstorm Wind",0,0,2,0,"15.00K","0.00K"
"3525",300477,"NORTH CAROLINA","April","Tornado",0,0,3,0,"1.00M","0.00K"
"3797",297552,"NORTH CAROLINA","April","Tornado",24,0,1,0,"16.00M","0.00K"
"3867",297659,"NORTH CAROLINA","April","Tornado",36,0,2,0,"57.00M","0.00K"
"4273",295378,"NORTH CAROLINA","April","Thunderstorm Wind",0,0,1,0,"",""
"4549",288564,"WEST VIRGINIA","April","Flash Flood",0,0,1,0,"20.00K","0.00K"
"4715",300502,"NORTH CAROLINA","April","Tornado",0,0,1,0,"3.10M","0.00K"
"4939",296431,"ARKANSAS","April","Flash Flood",0,0,1,0,"0.00K","0.00K"
"5131",296420,"ARKANSAS","April","Flash Flood",0,0,2,0,"0.00K","0.00K"
"5229",290951,"ARKANSAS","April","Thunderstorm Wind",3,0,1,0,"30.00K","0.00K"
"5260",291597,"MISSOURI","April","Flash Flood",0,0,1,0,"0.00K","0.00K"
"5350",297492,"NORTH CAROLINA","April","Tornado",85,0,1,0,"100.00M","0.00K"
"5381",298271,"ARKANSAS","April","Thunderstorm Wind",1,0,1,0,"","0.00K"
"5405",295249,"TENNESSEE","April","Thunderstorm Wind",0,0,0,1,"","0.00K"
"5549",291814,"MISSOURI","April","Flash Flood",0,0,1,0,"3.00M","0.00K"
"5621",301151,"MISSISSIPPI","April","Thunderstorm Wind",0,0,0,1,"","0.00K"
"6149",294862,"GEORGIA","April","Thunderstorm Wind",0,0,2,0,"200.00K","0.00K"
"6314",302999,"MISSISSIPPI","April","Flash Flood",0,0,1,0,"500.00K","0.00K"
"6819",303212,"TEXAS","April","Heavy Rain",0,1,0,1,"25.00K","0.00K"
"6887",303247,"MISSISSIPPI","April","Tornado",25,0,3,0,"2.00M","0.00K"
"6897",301959,"VIRGINIA","April","Flood",0,0,2,0,"0.00K","0.00K"
"7159",283021,"MISSISSIPPI","April","Thunderstorm Wind",0,0,0,1,"230.00K","0.00K"
"7353",303128,"TENNESSEE","April","Thunderstorm Wind",0,0,1,0,"0.00K","0.00K"
"7562",303248,"MISSISSIPPI","April","Tornado",0,0,1,0,"1.00M","0.00K"
"7633",289592,"ARKANSAS","April","Tornado",20,0,1,0,"21.00M","0.00K"
"7780",301771,"GEORGIA","April","Tornado",0,0,1,0,"5.00M","0.00K"
"7933",305458,"WISCONSIN","April","Hail",0,2,0,1,"12.00K",""
"7957",289612,"ARKANSAS","April","Tornado",15,0,4,0,"52.00M","0.00K"
"8086",289571,"ARKANSAS","April","Tornado",2,0,2,0,"38.50M","0.00K"
"8196",304929,"NORTH CAROLINA","April","Tornado",55,0,12,0,"2.25M","0.00K"
"8690",296429,"ARKANSAS","April","Flash Flood",0,0,2,0,"0.00K","0.00K"
"8816",300656,"ARKANSAS","April","Thunderstorm Wind",0,0,1,0,"125.00K","0.00K"
"8870",292605,"MISSISSIPPI","April","Thunderstorm Wind",0,0,1,0,"5.00K","0.00K"
"8918",294514,"GEORGIA","April","Thunderstorm Wind",0,0,0,1,"250.00K","0.00K"
"8920",303871,"VIRGINIA","April","Tornado",7,0,1,0,"0.00K","0.00K"
"9040",306883,"GEORGIA","April","Tornado",12,0,2,0,"10.00M","0.00K"
"9083",315331,"ALABAMA","April","Tornado",20,0,6,0,"50.00M","0.00K"
"9161",304631,"GEORGIA","April","Tornado",25,0,2,0,"20.00M","0.00K"
"9197",314923,"ALABAMA","April","Tornado",1,0,1,0,"4.00M","0.00K"
"9220",305268,"GEORGIA","April","Tornado",30,0,8,0,"25.00M","0.00K"
"9394",293825,"LOUISIANA","April","Flash Flood",0,0,1,0,"10.00K","0.00K"
"9411",295351,"GEORGIA","April","Tornado",2,0,1,0,"150.00K","0.00K"
"9447",309071,"ALABAMA","April","Tornado",40,0,9,0,"115.00M","0.00K"
"9468",285080,"OKLAHOMA","April","Tornado",40,0,2,0,"0.00K","0.00K"
"9492",293821,"LOUISIANA","April","Flash Flood",0,0,1,0,"10.00K","0.00K"
"9641",309817,"MISSISSIPPI","April","Tornado",5,0,1,0,"600.00K","600.00K"
"9650",309295,"ALABAMA","April","Tornado",100,0,7,0,"11.20M","0.00K"
"9812",315334,"ALABAMA","April","Tornado",10,0,1,0,"115.00M","0.00K"
"9829",302349,"ARKANSAS","April","Flash Flood",0,0,1,0,"10.00K","0.00K"
"9897",305469,"VIRGINIA","April","Tornado",24,0,2,0,"7.70M","0.00K"
"9948",314886,"ALABAMA","April","Tornado",30,0,13,0,"200.00M","0.00K"
"9950",314900,"ALABAMA","April","Tornado",25,0,8,0,"122.00M","0.00K"
"9968",288619,"NORTH DAKOTA","April","Flood",0,0,0,2,"0.00K","0.00K"
"10005",304422,"NEW YORK","April","Flood",0,0,1,0,"250.00K","0.00K"
"10011",309765,"MISSISSIPPI","April","Thunderstorm Wind",0,0,1,0,"400.00K","0.00K"
"10015",302067,"ALABAMA","April","Tornado",48,0,5,0,"0.00K","0.00K"
"10016",301943,"ALABAMA","April","Tornado",0,0,1,0,"0.00K","0.00K"
"10087",318940,"ARKANSAS","May","Flood",0,0,1,0,"100.00K","0.00K"
"10145",301925,"ALABAMA","April","Tornado",0,0,6,0,"0.00K","0.00K"
"10156",311613,"ALABAMA","April","Tornado",20,0,0,1,"18.00M","0.00K"
"10157",307342,"ALABAMA","April","Tornado",0,0,4,0,"6.60M","0.00K"
"10176",313010,"ARKANSAS","May","Tornado",10,0,2,0,"2.00M","0.00K"
"10187",319029,"ARKANSAS","May","Flood",0,0,1,0,"200.00K","0.00K"
"10518",303562,"MISSISSIPPI","April","Tornado",37,0,16,0,"2.50M","0.00K"
"10554",314742,"ALABAMA","April","Tornado",40,0,6,0,"17.00M","0.00K"
"10621",314799,"ALABAMA","April","Tornado",10,0,1,0,"14.00M","0.00K"
"10745",312738,"ALABAMA","April","Thunderstorm Wind",0,0,1,0,"0.00K","0.00K"
"10762",301902,"ALABAMA","April","Tornado",45,30,4,0,"1.00B","0.00K"
"10816",312739,"ALABAMA","April","Thunderstorm Wind",0,0,1,0,"0.00K","0.00K"
